Date,Open,High,Low,Close,Volume
1/1/2018,25565.75,25588,25271.55,25318.1,0
1/2/2018,25382.2,25425.5,25232.8,25338.25,0
1/3/2018,25425.75,25454.9,25300.9,25318.6,0
1/4/2018,25367.65,25490.35,25310.3,25462.6,0
1/5/2018,25524.45,25643.35,25499.55,25601.85,0
1/8/2018,25690.25,25771.5,25643.8,25676.1,0
1/9/2018,25727.95,25803.8,25617.25,25703.8,0
1/10/2018,25709.9,25717.6,25527.5,25617.3,0
1/11/2018,25628.2,25694.65,25532.25,25660.9,0
1/12/2018,25732.4,25775.15,25557.6,25749.05,0
1/15/2018,25858.15,26091.8,25842.95,26069.2,0
1/16/2018,26129.15,26136.4,25931.7,25974.9,0
1/17/2018,25946.15,26335.85,25922.3,26289.1,0
1/18/2018,26762.25,26887.65,26423.75,26537.4,0
1/19/2018,26615.65,26957.85,26433.55,26909.5,0
1/22/2018,26940.5,27074.9,26841.2,27041.2,0
1/23/2018,27089.95,27422.05,27066.15,27390.6,0
1/24/2018,27310.15,27479.25,27219.45,27398.55,0
1/25/2018,27414.1,27522.85,27151.75,27445.65,0
1/29/2018,27446.1,27652.05,27407.4,27498.45,0
1/30/2018,27466.85,27470.25,27242.05,27269.05,0
1/31/2018,27136.25,27455.75,27116.95,27379.45,0
2/1/2018,27334.85,27613.5,27046.35,27220.7,0
2/2/2018,27017.4,27017.55,26364.05,26451.15,0
2/5/2018,25968.15,26215.1,25917.55,26098.75,0
2/6/2018,25140.1,26140.6,25023.85,25811.3,0
2/7/2018,26065.4,26078.4,25558.05,25670,0
2/8/2018,25759.85,26126.4,25637.4,25920.65,0
2/9/2018,25466.3,25598.3,25371,25463.65,0
2/12/2018,25530.1,25757.85,25485.4,25701.6,0
2/14/2018,25810.25,25810.25,25212.35,25341.25,0
2/15/2018,25360.9,25615.15,25295.15,25424.35,0
2/16/2018,25511.95,25601,25100.9,25163.9,0
2/19/2018,25324.6,25326.05,24824.55,25058.55,0
2/20/2018,25105.55,25158.1,24829,24874.4,0
2/21/2018,24996.6,24999.7,24796.35,24936.7,0
2/22/2018,24812.7,24987.05,24781.7,24955.2,0
2/23/2018,25002.25,25345.15,24962.85,25302.5,0
2/26/2018,25452,25722.15,25381.2,25687.9,0
2/27/2018,25684.6,25723.55,25356.4,25383.6,0
2/28/2018,25116.25,25192.95,24942,25107.4,0
3/1/2018,25022.35,25226.05,24854.4,24902.55,0
3/5/2018,24831.35,24873.05,24682,24818.7,0
3/6/2018,24964.1,25040.25,24362.05,24448.45,0
3/7/2018,24333.85,24373.4,24096.75,24134.1,0
3/8/2018,24273.9,24534.5,24048.55,24477.65,0
3/9/2018,24556.95,24564.75,24259.7,24296.45,0
3/12/2018,24443.6,24716.05,24358.5,24664.2,0
3/13/2018,24624.6,25009.65,24597.55,24738.65,0
3/14/2018,24629.65,24894.3,24487,24851.65,0
3/15/2018,24854.3,24939.85,24732,24791.85,0
3/16/2018,24753.65,24785.35,24439.15,24489.55,0
3/19/2018,24530.15,24588.05,24186.95,24245.1,0
3/20/2018,24133.95,24355.65,24082.95,24168.2,0
3/21/2018,24331.3,24459.75,24208.65,24255.6,0
3/22/2018,24252.95,24314.4,24094.85,24141.5,0
3/23/2018,23785.65,23796.3,23605.6,23670.4,0
3/26/2018,23674.9,24290.65,23657.05,24244.35,0
3/27/2018,24396.4,24496.95,24266.4,24434.15,0
3/28/2018,24299.5,24361,24203.4,24263.35,0
4/2/2018,24235.65,24373.4,24062.95,24328.5,0
4/3/2018,24285.95,24538,24254.35,24510.6,0
4/4/2018,24502.5,24666.3,24087.8,24129.5,0
4/5/2018,24394.45,24824.9,24380.85,24759.8,0
4/6/2018,24776.35,24933.6,24626.4,24873.15,0
4/9/2018,24848.85,25152.85,24828,25093.8,0
4/10/2018,25153.6,25279.9,25120.2,25226.8,0
4/11/2018,25198.35,25207.05,24950.3,25098.25,0
4/12/2018,25076.9,25244.8,24969.4,25195.1,0
4/13/2018,25239.65,25411.3,25076.85,25200.6,0
4/16/2018,25082.1,25348.55,25067.35,25320.85,0
4/17/2018,25383.75,25402.55,25224,25334.45,0
4/18/2018,25426.75,25426.75,25058.75,25102.3,0
4/19/2018,25206.45,25207.3,25049.7,25126.15,0
